ModelName,Round 1,Round 2,Bonus Round,Overall,Avg. Distance in Round 3
gpt-3.5-turbo,42.916666666666664,74.58333333333333,28.33333333333333,45.7142857142857,30.0
gpt-4-turbo,50.0,70.83333333333333,50.55555555555554,56.19047619047618,15.125
gpt-4o-mini,55.833333333333336,70.0,28.055555555555554,47.976190476190474,20.9
gpt-4o,57.083333333333336,76.25,55.27777777777777,61.7857142857143,16.9
